MOF,O2,N2,CO2,CH4,H2,He
ABAVIJ_clean,1124698.0970816168,791338.2100168506,706423.4660633808,93636.71670571127,,6846385.269731213
ABEXEM_clean,,,,,5991126.806647163,6464516.707432354
ABIXOZ_clean,,2698493.1756006447,,,,26674131.33420386
ABIYIV_clean,1553317.117504738,833734.3590522018,643762.8684328222,170047.51147356024,,8301878.763144406
ABULOB_clean,1639281.4226873494,848352.2033771774,928288.3851688656,372676.93768510217,,8207109.443812931
ABUWOJ_clean,2069852.522883865,1731586.282963306,1466673.1937266854,1108505.4256667134,,13379210.640370714
ACAJIY_clean,1063557.6243425948,448964.1677603922,471809.75413315295,107493.08298949369,,3943192.240116684
ACAJOF_clean,772694.6423847618,625169.2433048141,700255.6136606359,208267.32160789828,,5667066.154656333
ACAKUM_clean,905071.174437895,574541.853654583,549143.9864657942,298568.6380100688,,3969001.798936692
ACECIV_ion_b,,773143.7289774958,,68933.73709388218,,5252169.530528429
ACIBIY_clean,316439.7934920813,132932.8267764404,154139.1660443938,19491.052865748585,,1311617.389345484
ACIBOE_clean,8390124.086877184,7053535.664270117,5642586.866356803,,,
ACOGAB_clean,1224302.8072525577,619716.9255720659,603305.306903563,,,4275715.021605576
ACOGEF_clean,1863331.8420657055,899928.7144864157,933615.6177729801,,,7585593.486589696
ACOLIP_clean,,,,,,2567913.5573527627
ACUBAB_clean,,1550377.2485493436,,,13144488.429962028,10468524.15291037
ACUFEK_clean,6544050.286980141,6929410.4850915335,1113820.8867738976,2339377.428474661,,59435549.92785152
ACUJOZ_manual,4768073.205971802,8479059.972129898,2713250.491428484,4242889.50562077,58232077.008610465,56596470.66900405
ACUTOI_clean,708492.9153917364,52123.1209914588,140740.39579645405,190114.98245239962,,3085033.1478175535
ADABIS_clean,2697204.7216649367,2175015.0117502757,1432880.5319809723,164631.02771154032,18662779.130206488,16050283.324400568
ADABUE_clean,1398152.352050297,654980.8275631013,476064.1160753388,72348.45510068933,,4457802.950171446
ADARAA_clean,5350384.422558537,4994842.866538563,3792796.2890229532,3002629.5091012735,34152235.10655428,36985666.39161814
ADASAB_charged,8697365.014416013,5990709.928239584,693994.1250434513,1083491.2042715019,48463584.06631828,45650198.02633501
ADASEF_clean,9737256.216769181,7947460.147490474,539441.820461485,2427105.9686950515,73631012.07085454,72929134.39699528
ADASIJ_clean,8129854.931002346,7444821.4297873555,3958736.1046981174,5023026.995346915,,58931060.166579
ADASOP_clean,10161089.089194125,7639927.885022527,5106906.99106349,6181680.205529422,60675170.956532985,55838828.91685819
ADASUV_clean,3461974.066081413,6969039.886406145,1471118.03113237,3471227.505301225,56734968.01735354,50398577.82558683
ADATAC_clean,10885840.673039282,8633999.401858214,638112.1733149303,4737669.225223663,61069303.652977526,56701222.873847514
ADATEG_manual,6627455.453117798,6524303.005473242,665551.4733874763,1152179.7007876078,,46456954.252842054
ADATIK_clean,10927303.843661986,8636483.361682503,2002947.5336055274,4954805.458986875,,64543215.07681197
ADAXEK_clean,4637967.313178203,3255057.5288379043,2732815.6288498747,1231124.2726065249,,24273664.870957185
ADAXIO_clean,919560.4271826844,641746.4075435888,729616.1564919841,,,
ADIQEL_clean,1682055.8727938917,1146012.9960057577,1185893.3926387646,229154.46114172327,,8597292.349248685
ADOBAX_charged,902597.7663792273,268030.75589086144,267448.9971531601,146278.23357070246,,4289753.122058775
ADOBEB_charged,1207732.9061806642,351118.8428835116,341786.90481117315,252290.96456037523,,6511489.949902995
ADOBIF_clean,,1097912.1208999248,,,,15757436.927364988
ADOBOL_charged,1476436.5859476048,452299.8667049803,516094.42201376474,740493.3266746437,,
ADOBUR_charged,1317391.333696179,374343.297688492,429610.9266169693,670435.6944290218,,6952603.419129586
ADOCEC_clean,2545098.9949312913,942113.7949190254,875616.6212633849,,,15403740.293232638
ADODAA_charged,4894827.167986365,5163781.003427722,2615446.123722732,2099796.7150332374,,37154132.41290773
ADODII_clean,4883225.019183962,3874729.410445999,4011420.0572700305,,,27036203.04383306
ADUROI_clean,15986923.497762311,13255275.698004255,1139830.3571059287,1948136.7590086518,,188563416.36353162
